author,content,created_at,postLink
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨1 - プリキュア
️⚠️💨1 - ツチノコ
️⚠️💨1 - weirdo
️⚠️💨1 - ぷり
5th - 刺繍
6th - usha
7th - riize
8th - potatoes
9th - divorce
10th - 早朝
(tap/click to see all posts on Bluesky featuring that word!)

#FreePalestine 🇵🇸",2024-07-28T00:00:37.679Z,https://bsky.app/profile/nowbreezing.ntw.app/post/3kychrnghz42s
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨1 - swim
2nd - walz
3rd - christians
4th - sdcc
5th - olympics
6th - 日曜日
7th - wolverine
8th - trek
9th - rocket
10th - picardo
(tap/click to see all posts on Bluesky featuring that word!)

#FreePalestine 🇵🇸",2024-07-27T22:10:40.294Z,https://bsky.app/profile/nowbreezing.ntw.app/post/3kycbmzo4d72y
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨1 - walz
️⚠️💨1 - volleyball
️⚠️💨1 - olympic
️⚠️💨1 - medal
5th - gov
6th - shapiro
7th - olympics
8th - athletes
9th - versuche
10th - leonard
(tap/click to see all posts on Bluesky featuring that word!)

#ListenToBlackVoices",2024-07-27T20:20:34.413Z,https://bsky.app/profile/nowbreezing.ntw.app/post/3kyc3i5spjo2m
chelseagsummers.bsky.social,I mean....https://nymag.com/intelligencer/article/olympics-2024-surfing-a-dangerous-drama-in-paradise.html,2024-07-27T17:29:21.627Z,https://bsky.app/profile/chelseagsummers.bsky.social/post/3kybrvywqhf2d
interactives.bsky.social,New on The New York Times : “Have the Olympics Ever Been This Dangerous?” https://www.nytimes.com/interactive/2024/07/25/magazine/olympics-surfing-teahupoo-french-polynesia.html,2024-07-25T20:37:22.795Z,https://bsky.app/profile/interactives.bsky.social/post/3ky53iejiga2k
dbeecher.bsky.social,"Take that, badminton and field hockey",2024-07-25T19:59:40.127Z,https://bsky.app/profile/dbeecher.bsky.social/post/3ky4zex3qdk2g
duncandahusky.wolfhusky.org,"TIL that the 2024 Summer Olympics surfing competitions are being held outside of Paris, which makes sense. Just...they're being held in Tahiti. OK, it's *technically* France...
www.npr.org/2024/07/24/n...

Also, they're putting up the participants on a cruise ship. olympics.com/en/news/pari...",2024-07-24T19:08:12.247Z,https://bsky.app/profile/duncandahusky.wolfhusky.org/post/3ky2fzyrbkf2p
interactives.bsky.social,New on Reuters : “The perfect wave” https://www.reuters.com/graphics/OLYMPICS-2024/SURFING/akpeoxnyopr/,2024-07-23T13:18:45.329Z,https://bsky.app/profile/interactives.bsky.social/post/3kxxc27nvec2s
betternews.bsky.social,"Teahupo’o: The 2024 Olympics Surfing Wave in Tahiti

https://www.onlygoodnewsdaily.com/post/teahupo-o-the-2024-olympics-surfing-wave-in-tahiti #goodnews",2024-07-23T05:00:22.000Z,https://bsky.app/profile/betternews.bsky.social/post/3kxwg74a4qg2e
npub1qspus6smkn8mcdxg5jflh50s69vdgtwsd5p74gmjpzp2qekn5duqfv5afj.momostr.pink.ap.brid.gy,<https://www.reuters.com/sports/olympics/teahupoo-set-star-paris-games-takes-surfing-home-2024-07-11/>,2024-07-11T14:03:58.000Z,https://bsky.app/profile/npub1qspus6smkn8mcdxg5jflh50s69vdgtwsd5p74gmjpzp2qekn5duqfv5afj.momostr.pink.ap.brid.gy/post/3kwz6y4ee2ag2
